DD1310 HT20 (50156)	Laboration 1	complete		2020-09-02T09:22:33Z
DD1310 HT20 (50156)	Laboration 2	complete		2020-09-09T13:36:51Z
DD1310 HT20 (50156)	Laboration 3	complete		2020-09-18T16:53:11Z
DD1310 HT20 (50156)	Laboration 4			
DD1310 HT20 (50156)	Laboration 4(don't report)			
DD1310 HT20 (50156)	Laboration 5			
DD1310 HT21 (50098)	Laboration (1) funktioner och variabler			
DD1310 HT21 (50098)	Laboration (2) inmatning och styrstrukturer			
DD1310 HT21 (50098)	Laboration (3) upprepningar			
DD1310 HT21 (50098)	Laboration (4) behållare			
DD1310 HT21 (50098)	Laboration (5) mer funktioner och moduler			
DD1310 HT21 (50098)	Laboration (6) filer			
DD1310 HT21 (50098)	Laboration (7) klasser och objekt			
DD1310 HT21 (50098)	Laboration (frivillig) grafiska gränssnitt			
